spec_id,reject_free_cash_insufficient,reject_nav_multiple_gate,reject_prior_day_volume,reject_limit_price,reject_contract_unavailable,reject_expiry_roll_unavailable,reject_other
CO-0324,416,102,0,2,0,0,0
CO-0325,416,102,0,2,0,0,0
CO-0326,416,102,0,2,0,0,0
CO-0327,416,102,0,2,0,0,0
CO-0328,416,102,0,2,0,0,0
CO-0329,416,102,0,2,0,0,0
CO-0330,416,102,0,2,0,0,0
CO-0331,416,102,0,2,0,0,0
CO-0332,416,102,0,2,0,0,0
CO-0333,416,102,0,2,0,0,0
CO-0334,416,102,0,2,0,0,0
CO-0335,416,102,0,2,0,0,0
CO-0336,366,152,0,2,0,0,0
CO-0337,366,152,0,2,0,0,0
CO-0338,366,152,0,2,0,0,0
CO-0339,366,152,0,2,0,0,0
CO-0340,366,152,0,2,0,0,0
CO-0341,366,152,0,2,0,0,0
CO-0342,366,152,0,2,0,0,0
CO-0343,366,152,0,2,0,0,0
CO-0344,366,152,0,2,0,0,0
CO-0345,366,152,0,2,0,0,0
CO-0346,366,152,0,2,0,0,0
CO-0347,366,152,0,2,0,0,0
CO-0348,244,274,0,2,0,0,0
CO-0349,244,274,0,2,0,0,0
CO-0350,244,274,0,2,0,0,0
CO-0351,244,274,0,2,0,0,0
CO-0352,244,274,0,2,0,0,0
CO-0353,244,274,0,2,0,0,0
CO-0354,244,274,0,2,0,0,0
CO-0355,244,274,0,2,0,0,0
CO-0356,244,274,0,2,0,0,0
CO-0357,244,274,0,2,0,0,0
CO-0358,244,274,0,2,0,0,0
CO-0359,244,274,0,2,0,0,0
CO-0360,426,42,0,2,0,0,0
CO-0361,426,42,0,2,0,0,0
CO-0362,426,42,0,2,0,0,0
CO-0363,426,42,0,2,0,0,0
CO-0364,426,42,0,2,0,0,0
CO-0365,426,42,0,2,0,0,0
CO-0366,426,42,0,2,0,0,0
CO-0367,426,42,0,2,0,0,0
CO-0368,426,42,0,2,0,0,0
CO-0369,426,42,0,2,0,0,0
CO-0370,426,42,0,2,0,0,0
CO-0371,426,42,0,2,0,0,0
CO-0372,379,89,0,2,0,0,0
CO-0373,379,89,0,2,0,0,0
CO-0374,379,89,0,2,0,0,0
CO-0375,379,89,0,2,0,0,0
CO-0376,379,89,0,2,0,0,0
CO-0377,379,89,0,2,0,0,0
CO-0378,379,89,0,2,0,0,0
CO-0379,379,89,0,2,0,0,0
CO-0380,379,89,0,2,0,0,0
CO-0381,379,89,0,2,0,0,0
CO-0382,379,89,0,2,0,0,0
CO-0383,379,89,0,2,0,0,0
CO-0384,239,229,0,2,0,0,0
CO-0385,239,229,0,2,0,0,0
CO-0386,239,229,0,2,0,0,0
CO-0387,239,229,0,2,0,0,0
CO-0388,239,229,0,2,0,0,0
CO-0389,239,229,0,2,0,0,0
CO-0390,239,229,0,2,0,0,0
CO-0391,239,229,0,2,0,0,0
CO-0392,239,229,0,2,0,0,0
CO-0393,239,229,0,2,0,0,0
CO-0394,239,229,0,2,0,0,0
CO-0395,239,229,0,2,0,0,0
CO-0396,510,8,0,2,0,0,0
CO-0397,510,8,0,2,0,0,0
CO-0398,510,8,0,2,0,0,0
CO-0399,510,8,0,2,0,0,0
CO-0400,510,8,0,2,0,0,0
CO-0401,510,8,0,2,0,0,0
CO-0402,510,8,0,2,0,0,0
CO-0403,510,8,0,2,0,0,0
CO-0404,510,8,0,2,0,0,0
CO-0405,510,8,0,2,0,0,0
CO-0406,510,8,0,2,0,0,0
CO-0407,510,8,0,2,0,0,0
CO-0408,465,53,0,2,0,0,0
CO-0409,465,53,0,2,0,0,0
CO-0410,465,53,0,2,0,0,0
CO-0411,465,53,0,2,0,0,0
CO-0412,465,53,0,2,0,0,0
CO-0413,465,53,0,2,0,0,0
CO-0414,465,53,0,2,0,0,0
CO-0415,465,53,0,2,0,0,0
CO-0416,465,53,0,2,0,0,0
CO-0417,465,53,0,2,0,0,0
CO-0418,465,53,0,2,0,0,0
CO-0419,465,53,0,2,0,0,0
CO-0420,273,245,0,2,0,0,0
CO-0421,273,245,0,2,0,0,0
CO-0422,273,245,0,2,0,0,0
CO-0423,273,245,0,2,0,0,0
CO-0424,273,245,0,2,0,0,0
CO-0425,273,245,0,2,0,0,0
CO-0426,273,245,0,2,0,0,0
CO-0427,273,245,0,2,0,0,0
CO-0428,273,245,0,2,0,0,0
CO-0429,273,245,0,2,0,0,0
CO-0430,273,245,0,2,0,0,0
CO-0431,273,245,0,2,0,0,0
